payment_id,invoice_id,customer_id,payment_date,amount_paid,payment_method,reference_number,status,notes
PMT-200001,INV-100001,CUST-1001,2024-01-20,250.00,ACH,ACH-REF-001,CLEARED,Full payment
PMT-200002,INV-100002,CUST-1002,2024-01-25,450.00,WIRE,WIRE-REF-002,PARTIAL,First installment
PMT-200003,INV-100005,CUST-1004,2024-01-28,2500.00,WIRE,WIRE-REF-003,CLEARED,Full payment via wire
PMT-200004,INV-100006,CUST-1002,2024-01-30,360.00,CHECK,CHK-1042,CLEARED,Check payment
PMT-200005,INV-100007,CUST-1005,2024-02-01,700.00,ACH,ACH-REF-005,PARTIAL,First of two payments
PMT-200006,INV-100009,CUST-1004,2024-02-05,1200.00,CREDIT_CARD,CC-TXN-006,CLEARED,Full payment by credit card
PMT-200007,INV-100002,CUST-1002,2024-02-10,500.00,WIRE,WIRE-REF-007,CLEARED,Second payment - overpayment
PMT-200008,INV-100003,CUST-1003,2024-02-12,750.00,ACH,ACH-REF-008,PARTIAL,Partial against overdue invoice
PMT-200009,INV-100007,CUST-1005,2024-02-14,700.00,ACH,ACH-REF-009,CLEARED,Second installment - full settlement
PMT-200010,INV-100004,CUST-1001,2024-02-15,200.00,EFT,EFT-REF-010,PARTIAL,Partial payment
PMT-200011,INV-100008,CUST-1003,2024-02-16,100.00,CHECK,CHK-1095,PARTIAL,Small partial payment
PMT-200012,INV-100010,CUST-1005,2024-02-18,625.00,ACH,ACH-REF-012,CLEARED,Full payment on new order
PMT-200013,INV-100003,CUST-1003,2024-02-20,200.00,CASH,,PARTIAL,Cash payment toward overdue balance
PMT-200014,INV-100001,CUST-1001,2024-02-22,50.00,ACH,ACH-REF-014,CLEARED,Duplicate / overpayment
PMT-200015,INV-100008,CUST-1003,2024-02-25,100.00,EFT,EFT-REF-015,PARTIAL,Second partial payment
